CHEMBL_ID,Molecular Weight,SMILES,Standard Type,Standard Relation,STANDARD_VALUE,Standard Units,STANDARD_VALUE_LN,STANDARD_VALUE_LOG,TYPE,TYPE_LABEL,AlogP,NumHAcceptors,NumHDonors,NumRotatableBonds,FractionCSP3,TPSA,LogP_WildmanCrippen
CHEMBL3747584,222.29,Cc1c(-c2cccnc2)n(C)c2ccccc12,T1/2,'=',0.2,hr,-1.609437912,-0.698970004,unstable,0,3.55,2,0,3,0.133333333,17.82,3.54872
CHEMBL6966,454.61,COc1ccc(CCN(C)CCCC(C#N)(c2ccc(OC)c(OC)c2)C(C)C)cc1OC,T1/2,'=',0.200333333,hr,-1.607772633,-0.698246783,unstable,0,5.09,6,0,20,0.518518519,63.95,5.09308
CHEMBL1828765,396.37,CC(C)(C)Cn1ccnc1/N=C(/Nc1ccc(Cl)c(Cl)c1)NC(C)(C)C,T1/2,'=',0.2017,hr,-1.600973834,-0.695294102,unstable,0,5.72,3,2,3,0.473684211,54.24,5.7237
CHEMBL3785718,348.49,Oc1cccc2c1CNC(CN1CCC3(CCc4ccccc43)CC1)C2,T1/2,'=',0.2033,hr,-1.593072558,-0.691862621,unstable,0,3.39,3,2,3,0.47826087,35.5,3.3865
CHEMBL4073295,518.45,NS(=O)(=O)c1cc(-c2nnc(/C=C/c3ccc(Cl)cc3)o2)c(Cl)cc1SCc1ccccc1,T1/2,'=',0.2067,hr,-1.576486812,-0.684659523,unstable,0,6.15,6,1,8,0.043478261,99.08,6.1535
CHEMBL4061517,584.17,Cc1ccc(C)c(N2CCN(Cc3nnc(-c4cc(S(N)(=O)=O)c(SCc5ccccc5)cc4Cl)o3)CC2)c1,T1/2,'=',0.2083,hr,-1.568775931,-0.68131073,unstable,0,5.27,8,1,11,0.285714286,105.56,5.26874
CHEMBL4548962,520.64,[2H]C(Oc1cc(OC([2H])([2H])[2H])cc2oc(-c3cn4nc(OC([2H])([2H])[2H])sc4n3)cc12)c1nc(N2CCOCC2)sc1C,T1/2,'=',0.2083,hr,-1.568775931,-0.68131073,unstable,0,4.4,12,0,10,0.347826087,96.38,4.40172
CHEMBL4067470,539.04,NS(=O)(=O)c1cc(-c2nnc(Cn3cc(-c4ccccc4)nn3)o2)c(Cl)cc1SCc1ccccc1,T1/2,'=',0.21,hr,-1.560647748,-0.677780705,unstable,0,4.64,9,1,9,0.083333333,129.79,4.6365
CHEMBL488400,330.41,COc1cc(CSc2nc3ccc(OC)cc3[nH]2)cc(OC)c1,T1/2,'=',0.2133,hr,-1.545055654,-0.671009145,unstable,0,3.88,5,1,9,0.235294118,56.37,3.881
CHEMBL4088710,569.07,COc1ccc(-c2cn(Cc3nnc(-c4cc(S(N)(=O)=O)c(SCc5ccccc5)cc4Cl)o3)nn2)cc1,T1/2,'=',0.215,hr,-1.537117251,-0.66756154,unstable,0,4.65,10,1,11,0.12,139.02,4.6451
CHEMBL2018911,234.32,COc1ccc2[nH]c(SCC3CC3)nc2c1,T1/2,'=',0.215,hr,-1.537117251,-0.66756154,unstable,0,3.07,3,1,5,0.416666667,37.91,3.0736
CHEMBL3353341,506.61,COc1ccc2c(c1)[C@]1(C[C@H]1c1ccc3c(/C=C/c4ccc(N5CCN(C)CC5)nc4)n[nH]c3c1)C(=O)N2,T1/2,'=',0.216666667,hr,-1.529395205,-0.664207897,unstable,0,4.27,6,2,7,0.3,86.38,4.2661
CHEMBL1669600,697.18,CNC(=O)Cn1cc(CN2CCN(c3cc(C(=O)Nc4ccc5c(c4)-c4c(c(C(N)=O)nn4-c4ccc(F)cc4)CC5)c(Cl)cn3)CC2)cn1,T1/2,'=',0.2167,hr,-1.52924137,-0.664141089,unstable,0,3.44,10,3,10,0.257142857,156.3,3.4413
CHEMBL3355190,631.63,O=C(N[C@H](Cc1c[nH]c2ccccc12)C(=O)Nc1ccncc1)c1ccc(N2CCN(c3ccc(C(F)(F)F)cn3)CC2)cc1F,T1/2,'=',0.2167,hr,-1.52924137,-0.664141089,unstable,0,5.42,6,3,8,0.212121212,106.25,5.4222
CHEMBL1096156,551.61,COc1cc(N2CCN(C3CCN(c4cccc5c(OC)cc(C(F)(F)F)nc45)CC3)CC2)c2ncccc2c1,T1/2,'=',0.2167,hr,-1.52924137,-0.664141089,unstable,0,5.61,7,0,7,0.4,53.96,5.61
CHEMBL2426077,548.43,O=C(O)CCCC(=O)N1N=C(c2c(-c3ccc(Cl)cc3)c3ccccc3[nH]c2=O)CC1c1ccc(Cl)cc1,T1/2,'=',0.2167,hr,-1.52924137,-0.664141089,unstable,0,6.43,5,2,7,0.172413793,102.83,6.4345
CHEMBL403170,531.62,CC(C)CCn1nc(-c2cccs2)c(O)c(C2=NS(=O)(=O)c3cc(OC(C)C(N)=O)ccc3N2)c1=O,T1/2,'=',0.2167,hr,-1.52924137,-0.664141089,unstable,0,2.54,10,3,12,0.304347826,165.97,2.5371
